x,y,z
2018,2010,3105
2020,2014,3106
2017,2007,3103
2017,2012,3097
2020,2013,3097
2019,2000,3101
2012,2015,3096
2018,2009,3097
2001,2014,3090
2014,2016,3091
2019,2009,3084
2016,2012,3090
2017,2013,3091
2018,2016,3086
2016,2014,3082
2016,2019,3079
2015,2015,3079
2017,2018,3080
2019,2013,3076
2019,2013,3075
2016,2012,3075
2023,2013,3074
2019,2015,3075
2022,2015,3070
2016,2009,3066
2014,2014,3066
2014,2013,3062
2015,2015,3072
2020,2015,3064
2017,2011,3060
2014,2015,3066
2021,2013,3062
2015,2012,3065
2018,2010,3063
2016,2017,3065
2017,2029,3063
2017,2015,3060
2016,2016,3059
2000,2014,3059
2023,2016,3054
2021,2013,3062
2025,2010,3055
2023,2011,3058
2018,2016,3054
2016,2020,3054
2021,2000,3053
2017,2013,3048
2022,2014,3044
2018,2010,3057
2022,2013,3048
2021,2015,3054
2019,2012,3049
2023,2010,3059
2021,2017,3051
2020,2010,3055
2020,2015,3049
2018,2013,3052
2019,2014,3056
2021,2014,3057
2021,2014,3053
2016,2013,3058
2017,2016,3058
2020,2014,3056
2022,2018,3054
2017,2015,3059
2023,2012,3056
2021,2015,3057
2018,2019,3056
2020,2014,3060
2018,2011,3060
2017,2012,3062
2026,2018,3065
2019,2022,3069
2021,2014,3068
2025,2011,3067
2019,2013,3071
2022,2013,3084
2016,2017,3078
2017,2015,3074
2022,2014,3074
2020,2012,3077
2014,2012,3074
2018,2013,3079
2017,2015,3080
2017,2019,3080
2014,2012,3079
2018,2011,3074
2017,2011,3083
2015,2015,3088
2019,2014,3086
2017,2013,3092
2020,2014,3091
2012,2011,3087
2012,2008,3093
2015,2009,3094
2015,2010,3095
2014,2006,3100
2017,2009,3103
2014,2011,3105
2018,2015,3102
2015,2009,3107
2016,2010,3108
2015,2012,3105
2018,2007,3116
2014,2007,3115
2024,2009,3115
2018,2011,3120
2014,2015,3112
2020,2012,3119
2019,2009,3118
2010,2008,3118
2013,2013,3121
2014,2014,3125
2021,2010,3121
2016,2007,3124
2010,2015,3126
2015,2013,3125
2010,2011,3133
2017,2009,3126
2015,2016,3126
2015,2009,3126
2014,2011,3134
2015,2009,3134
2014,2011,3138
2011,2015,3130
2016,2011,3130
2013,2016,3134
2019,2014,3134
2014,2030,3129
2011,2012,3132
2019,2016,3133
2009,2013,3137
2016,2016,3140
2012,2026,3134
2016,2012,3129
2015,2013,3129
2018,2010,3129
2011,2014,3132
2012,2013,3133
2014,2009,3137
2015,2016,3126
2014,2009,3130
2009,2015,3133
2010,2029,3127
2016,2009,3129
2014,2015,3126
2011,2012,3127
2016,2011,3124
2012,2009,3123
2017,2012,3126
2017,2011,3121
2000,2015,3118
2016,2012,3115
2021,2028,3112
2016,2016,3111
2020,2011,3112
2019,2015,3109
2012,2010,3111
2013,2013,3099
2012,2007,3105
2015,2012,3100
2000,2013,3103
2024,2008,3103
2010,2010,3104
2013,2010,3103
2014,2011,3099
2011,2008,3094
2017,2011,3099
2014,2013,3091
2014,2013,3094
2009,2007,3089
2008,2015,3085
2015,2011,3083
2013,2015,3079
2025,2012,3073
2017,2010,3074
2000,2013,3073
2021,2009,3072
2024,2009,3070
2018,2012,3069
2015,2011,3065
2019,2014,3070
2021,2010,3068
2018,2011,3062
2017,2011,3066
2016,2013,3072
2017,2010,3064
2024,2014,3066
2017,2012,3063
2023,2011,3062
2014,2017,3061
2018,2010,3061
2020,2012,3058
2020,2017,3056
2024,2012,3059
2015,2013,3054
2018,2008,3053
2016,2014,3050
2024,2014,3051
2019,2013,3050
2018,2008,3048
2018,2017,3049
2018,2019,3052
2020,2018,3047
2018,2014,3043
2019,2018,3052
2015,2010,3051
2026,2013,3057
2025,2014,3049
2018,2017,3056
2023,2013,3056
2018,2012,3054
2024,2019,3055
2022,2015,3053
2021,2015,3057
2020,2011,3058
2021,2010,3051
2016,2015,3057
2019,2015,3055
2018,2015,3055
2021,2015,3053
2027,2016,3051
2016,2012,3054
2026,2018,3060
2022,2014,3059
2022,2013,3059
2020,2014,3064
2019,2016,3069
2021,2015,3063
2016,2012,3066
2021,2019,3072
2018,2028,3070
2020,2023,3074
2014,2016,3073
2023,2018,3071
2017,2016,3075
2019,2011,3071
2020,2012,3068
2021,2014,3077
2019,2014,3070
2018,2012,3079
2014,2012,3078
2023,2014,3078
2018,2017,3077
2019,2016,3087
2017,2011,3082
2020,2011,3085
2020,2011,3085
2022,2008,3082
2030,2011,3094
2022,2010,3088
2015,2015,3099
2016,2010,3096
2016,2009,3099
2031,2014,3103
2013,2017,3099
2017,2014,3106
2012,2010,3109
2017,2012,3105
2013,2014,3110
2012,2011,3115
2014,2014,3110
2014,2018,3110
2013,2009,3114
2022,2016,3111
2017,2014,3112
2020,2013,3112
2014,2008,3114
2012,2013,3112
2030,2014,3113
2015,2017,3112
2018,2012,3114
2022,2011,3123
2012,2014,3121
2023,2017,3122
2015,2012,3126
2015,2011,3121
2018,2014,3127
2010,2013,3132
2022,2010,3126
2017,2015,3128
2015,2013,3133
2016,2012,3129
2011,2013,3126
2010,2011,3125
2016,2010,3125
2011,2010,3126
2017,2018,3133
2016,2015,3122
2028,2016,3125
2016,2011,3125
2016,2016,3126
2017,2014,3125
2019,2010,3125
2014,2013,3130
2012,2011,3133
2017,2012,3125
2015,2007,3124
2012,2009,3127
2010,2015,3129
2011,2018,3133
2014,2014,3123
2015,2015,3128
2012,2010,3123
2014,2013,3119
2020,2014,3119
2019,2007,3117
2014,2012,3116
2019,2011,3116
2016,2009,3111
2010,2011,3114
2011,2017,3104
2011,2007,3109
2013,2011,3103
2011,2011,3109
2017,2011,3106
2015,2010,3105
2015,2013,3102
2019,2014,3099
2019,2013,3101
2014,2009,3095
2017,2013,3091
2011,2015,3094
2016,2014,3094
2018,2013,3094
